payout_id,provider,country,currency,amount,status,created_at,paid_at,expected_arrival_at,arrival_at
brh_001,Stripe,BR,BRL,900,paid,2026-04-02T12:00:00Z,2026-04-02T12:10:00Z,2026-04-03T12:10:00Z,2026-04-06T14:00:00Z
brh_002,Adyen,BR,BRL,2400,paid,2026-04-02T15:00:00Z,2026-04-02T15:10:00Z,2026-04-03T15:10:00Z,2026-04-06T16:20:00Z
brh_003,BankingCircle,BR,BRL,12000,paid,2026-04-02T18:00:00Z,2026-04-02T18:10:00Z,2026-04-03T18:10:00Z,2026-04-06T18:30:00Z
brh_004,Stripe,BR,BRL,1500,paid,2026-04-20T10:00:00Z,2026-04-20T10:10:00Z,2026-04-21T10:10:00Z,2026-04-22T13:40:00Z
brh_005,Adyen,BR,BRL,5200,paid,2026-04-20T14:00:00Z,2026-04-20T14:10:00Z,2026-04-21T14:10:00Z,2026-04-22T15:10:00Z
brh_006,BankingCircle,BR,BRL,18000,paid,2026-04-20T17:00:00Z,2026-04-20T17:15:00Z,2026-04-21T17:15:00Z,2026-04-23T16:00:00Z
brh_007,Stripe,BR,BRL,800,paid,2026-04-30T11:00:00Z,2026-04-30T11:10:00Z,2026-05-01T11:10:00Z,2026-05-04T12:30:00Z
brh_008,Adyen,BR,BRL,3000,paid,2026-04-30T15:00:00Z,2026-04-30T15:10:00Z,2026-05-01T15:10:00Z,2026-05-04T16:10:00Z
brh_009,BankingCircle,BR,BRL,21000,paid,2026-04-30T18:00:00Z,2026-04-30T18:10:00Z,2026-05-01T18:10:00Z,2026-05-05T15:00:00Z
brh_010,Stripe,BR,BRL,700,failed,2026-05-01T10:00:00Z,,,
