payout_id,provider,country,currency,amount,status,created_at,paid_at,expected_arrival_at,arrival_at
po_001,Stripe,DE,EUR,1200,paid,2026-02-01T09:12:00Z,2026-02-01T09:30:00Z,2026-02-02T09:30:00Z,2026-02-02T10:05:00Z
po_002,Stripe,BR,BRL,3400,paid,2026-02-01T10:00:00Z,2026-02-01T10:10:00Z,2026-02-02T10:10:00Z,2026-02-03T14:00:00Z
po_003,Adyen,FR,EUR,870,paid,2026-02-02T11:00:00Z,2026-02-02T11:05:00Z,2026-02-03T11:05:00Z,2026-02-03T11:40:00Z
po_004,Stripe,US,USD,2500,paid,2026-02-03T08:20:00Z,2026-02-03T08:30:00Z,2026-02-04T08:30:00Z,2026-02-06T09:00:00Z
po_005,BankingCircle,BR,BRL,9200,paid,2026-02-04T09:00:00Z,2026-02-04T09:15:00Z,2026-02-05T09:15:00Z,2026-02-07T12:00:00Z
po_006,Adyen,DE,EUR,1500,paid,2026-02-05T14:00:00Z,2026-02-05T14:20:00Z,2026-02-06T14:20:00Z,2026-02-06T15:10:00Z
po_007,Stripe,BR,BRL,4800,paid,2026-02-06T16:00:00Z,2026-02-06T16:05:00Z,2026-02-07T16:05:00Z,2026-02-10T11:00:00Z
po_008,Stripe,US,USD,700,failed,2026-02-07T10:00:00Z,,, 
po_009,BankingCircle,FR,EUR,2100,paid,2026-02-08T12:00:00Z,2026-02-08T12:20:00Z,2026-02-09T12:20:00Z,2026-02-09T15:10:00Z
po_010,Stripe,BR,BRL,13000,paid,2026-02-09T09:30:00Z,2026-02-09T09:45:00Z,2026-02-10T09:45:00Z,2026-02-12T15:30:00Z
